456
44
521
79	-5.441425627140000e+01 -7.500000000000000e+02  9.471360338760000e+01	 5.556900000000000e-06 -5.468100000000000e-06  0.000000000000000e+00	1.000000000000000e+00	8058	1	79
80	 7.500000000000000e+02 -7.500000000000000e+02  9.471360338760000e+01	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8058	1	80
83	 3.216592012893000e+02 -7.500000000000000e+02  3.592584956082000e+02	-3.482000000000000e-06  5.708000000000000e-07  0.000000000000000e+00	1.000000000000000e+00	8058	1	83
84	 7.500000000000000e+02 -7.500000000000000e+02  3.592584956082000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8058	1	84
85	7.500000000000000e+02 7.500000000000000e+02 3.592584956082000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8058	1	85
87	-2.960127018922000e+02 -7.500000000000000e+02 -4.866743458537000e+02	-2.720000000000000e-08 -4.710000000000000e-08  5.420000000000001e-07	1.000000000000000e+00	8058	1	87
88	-2.960127018922000e+02 -7.500000000000000e+02 -7.500000000000000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8058	1	88
89	 5.700127018922000e+02  7.500000000000000e+02 -7.500000000000000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8058	1	89
90	5.700127018922000e+02 7.500000000000000e+02 5.809950470373000e+02	 6.609000000000000e-07  1.144700000000000e-06 -9.878000000000001e-06	1.000000000000000e+00	8058	1	90
92	-7.500000000000000e+02  7.500000000000000e+02  3.804874067123000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8006	1	92
93	-7.500000000000000e+02 -7.500000000000000e+02  3.804874067123000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8006	1	93
94	 7.500000000000000e+02 -7.500000000000000e+02  3.804874067123000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	8006	1	94
95	7.500000000000000e+02 2.980738828058000e+02 3.804874067123000e+02	-1.240160000000000e-05 -1.275510000000000e-05  0.000000000000000e+00	1.000000000000000e+00	8006	1	95
97	 5.929872981078000e+02 -7.500000000000000e+02 -1.596195074720000e+01	 4.600000000000000e-09  7.900000000000000e-09 -9.300000000000000e-08	1.000000000000000e+00	97	1	97
98	 5.929872981078000e+02 -7.500000000000000e+02 -7.500000000000000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	97	1	98
99	 7.500000000000000e+02 -4.780460228890000e+02 -7.500000000000000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	97	1	99
100	 7.500000000000000e+02 -4.780460228890000e+02  1.932811256930000e+01	 3.760000000000000e-08  6.520000000000000e-08 -7.797000000000000e-07	1.000000000000000e+00	97	1	100
101	-7.500000000000000e+02 -5.525242076145000e+02 -1.159425144917000e+02	-0.000000000000000e+00 -0.000000000000000e+00  0.000000000000000e+00	1.779785156250000e-01	661	1	101
102	-7.500000000000000e+02 -5.525242076145000e+02  7.500000000000000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	661	1	102
103	-6.359872981078000e+02 -7.500000000000000e+02  7.500000000000000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	661	1	103
104	-6.359872981078000e+02 -7.500000000000000e+02 -1.159425144917000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	7.500000000000000e-01	661	1	104
105	-5.969973188675000e+02 -7.500000000000000e+02  5.829785587824000e+02	-6.218250000000000e-05  1.784599000000000e-04  0.000000000000000e+00	1.000000000000000e+00	105	1	105
106	 7.500000000000000e+02 -7.500000000000000e+02  5.829785587824000e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	105	1	106
107	7.500000000000000e+02 2.452878163380000e+01 5.829785587824000e+02	 2.578800000000000e-06 -6.483600000000000e-06  0.000000000000000e+00	1.000000000000000e+00	105	1	107
108	-2.092046988223000e+02  6.910882722200000e+02 -4.164132562731000e+02	-1.292987812500000e-05  0.000000000000000e+00  0.000000000000000e+00	3.164062500000000e-01	8058	0	108
112	 6.715687360037000e+02  1.375789849510000e+02 -5.931495471837001e+02	 1.140000000000000e-07 -1.974000000000000e-07 -2.516000000000000e-06	1.000000000000000e+00	0	0	112
113	 5.135203472725000e+02 -6.194918406000000e+00  2.286190426598000e+02	-1.702840000000000e-05  1.931600000000000e-06  0.000000000000000e+00	1.000000000000000e+00	8058	0	113
114	 2.990310580716000e+02  6.853867358202000e+02 -4.262112152443000e+02	-5.700000000000001e-09 -3.840000000000000e-08  0.000000000000000e+00	1.000000000000000e+00	646	0	114
116	-5.785172681551001e+02  1.418659154152000e+02 -1.159425144917000e+02	-7.428200000000000e-06 -4.649800000000000e-06  0.000000000000000e+00	1.000000000000000e+00	661	0	116
117	-4.257140261325000e+02  2.979196750480000e+02 -4.164132562731000e+02	 5.552000000000000e-07 -4.563000000000000e-07  0.000000000000000e+00	1.000000000000000e+00	8058	0	117
118	-6.445064516907000e+02 -1.587771257330000e+02  1.077775486825000e+02	-9.457990000000000e-05 -1.804600000000000e-06  0.000000000000000e+00	1.000000000000000e+00	23	0	118
