115	-3.620386719675123e+02 -5.564930367938130e+02  7.870098474606273e+02	 1.124275324534320e+01 -5.751477848005658e+00  5.491275397337549e+00	3	0
116	 2.340523445727472e+02 -5.154808434849931e+02  7.325626253092632e+02	 1.320347456710973e+01  6.689192853988460e+00 -6.514281713121278e+00	3	0
117	 3.295117600329311e+02 -1.704127342659579e+02  4.815397179880388e+02	-1.126782411523121e+01  5.812765470162371e+00 -5.455058645068835e+00	3	0
118	-2.948635277547901e+02 -1.018233764908628e+02  2.694783943101932e+03	-1.244960697205546e+01 -5.553904055523809e+00  6.895702916531647e+00	4	0
119	-2.672863632885148e+02 -4.574980874276962e+02  2.983283509826044e+03	 1.301299810987716e+01 -6.786540199237514e+00  6.226457910639652e+00	4	0
120	 3.768879143724298e+02 -4.702260094890539e+02  2.998132752230961e+03	 1.246770595602724e+01  6.496020432242382e+00 -5.971685523784856e+00	4	0
121	 3.493107499061543e+02 -1.131370849898476e+02  2.711047399069223e+03	-1.301445986344015e+01  6.299157151585643e+00 -6.715302711854498e+00	4	0
122	-4.864894654563448e+02  1.838477631085022e+02  2.193445235240670e+03	-5.607636890944235e+00  5.095000792426955e+00  1.070263768337119e+01	8	0
123	-4.525483399593904e+02  1.315218613006978e+02  2.733674816067192e+03	 6.271288971210254e+00 -6.293969919303660e+00  1.256525889051391e+01	8	0
124	-1.781909088590098e+02 -1.343502884254440e+02  2.819941843371951e+03	 5.170259154450214e+00 -5.529283502624331e+00 -1.069954265707455e+01	8	0
125	-2.142533546995239e+02 -8.414570696119904e+01  2.279712262545429e+03	-5.928034892225075e+00  6.631442858063796e+00 -1.255947775028886e+01	8	0
126	3.181980515339463e+02 4.511341263970173e+02 1.767766952966369e+03	5.415684016711396e+00 1.113980883873523e+01 5.724124822023839e+00	12	0
127	5.557859300126264e+02 3.740594872476836e+02 2.093743179093367e+03	 6.471021778494450e+00 -1.271304153529263e+01  6.242019756798186e+00	12	0
128	 5.960910165402596e+02 -1.902117241391812e+02  2.129805624933881e+03	-5.499710973555334e+00 -1.112784233310455e+01 -5.628131359549229e+00	12	0
129	 3.521391770309007e+02 -1.138441917710342e+02  1.809486253056375e+03	-6.105145485917760e+00  1.269665333941868e+01 -6.591507853500907e+00	12	0
130	0.000000000000000e+00 1.329360748630711e+02 2.196273662365416e+03	-4.757937216295115e+00  6.066005261869329e+00  1.082394247816444e+01	16	0
131	5.374011537017759e+01 7.212489168102798e+01 2.776101222938385e+03	 6.434870354288517e+00 -6.799067937878807e+00  1.323393829216733e+01	16	0
