20	-1.000000000000000e+03 -1.234896141331251e+02  2.000000000000000e+03	 6.129926769062877e-04  6.129926769062877e-04 -2.714854085130075e-17	1.000000000000000e+00	19	1
21	-8.900964261116413e+02 -1.358604024476620e+01  2.000000000000000e+03	-7.314503658562899e-03 -7.314503658562899e-03 -4.944434061227545e-17	1.000000000000000e+00	19	1
22	-9.267309507410944e+02  2.304848438468709e+01  1.926730950741094e+03	-2.417975105345249e-02 -2.417975105345249e-02 -1.386340677655685e-16	1.000000000000000e+00	19	0
23	-9.755769835803651e+02  7.189451722395813e+01  1.829038885062552e+03	-2.659977599978447e-02 -2.659977599978447e-02  1.335173667243319e-16	1.000000000000000e+00	19	0
24	 9.210820881965892e+02 -1.000000000000000e+03  1.968307231133866e+03	-1.122103352099657e-02 -7.804570840423984e-17  1.122103352099657e-02	1.000000000000000e+00	24	1
25	 1.000000000000000e+03 -1.000000000000000e+03  1.889389319330455e+03	 2.039769897237420e-04  1.999008715663265e-18 -2.039769897237420e-04	1.000000000000000e+00	24	1
26	1.000000000000000e+03 8.893893193304546e+02 0.000000000000000e+00	 4.462997094378807e-05 -8.985832566189113e-19 -4.462997094378807e-05	1.000000000000000e+00	24	1
27	8.893893193304548e+02 1.000000000000000e+03 0.000000000000000e+00	-5.088148172944784e-03 -1.649215541310516e-18  5.088148172944784e-03	1.000000000000000e+00	24	1
28	-7.891791180341090e+01  9.999999999999995e+02  9.683072311338659e+02	 1.133237592875957e-02  3.777651139468422e-18 -1.133237592875957e-02	1.000000000000000e+00	24	1
29	2.544154215299225e+02 3.333333333333329e+02 1.301640564467199e+03	-5.186713300645351e-03 -5.253969595938257e-18  5.186713300645351e-03	1.000000000000000e+00	24	0
30	 6.988598659743669e+02 -5.555555555555560e+02  1.746085008911643e+03	 1.011661067605019e-02 -3.514819462913373e-17 -1.011661067605019e-02	1.000000000000000e+00	24	0
31	-7.652405486460659e+02  9.999999999999999e+02  1.978786796564403e+03	 2.321435749763623e-04  2.321435749763623e-04 -1.686346541634679e-18	1.000000000000000e+00	31	1
32	1.000000000000000e+03 1.000000000000000e+03 2.135462479183373e+02	5.599069845629856e-05 5.599069845629856e-05 8.111625184848797e-19	1.000000000000000e+00	31	1
33	1.000000000000000e+03 7.864537520816630e+02 0.000000000000000e+00	-2.955167554318905e-03 -2.955167554318905e-03 -1.092016237539563e-18	1.000000000000000e+00	31	1
34	2.241528496361356e+02 1.060660171779830e+01 0.000000000000000e+00	7.520976476371288e-03 7.520976476371288e-03 2.561537647518474e-18	1.000000000000000e+00	31	1
35	-1.056449497912649e+02  3.404044011451988e+02  6.595955988548010e+02	8.996034041047096e-03 8.996034041047096e-03 1.398102325698352e-18	1.000000000000000e+00	31	0
36	-5.453753490277988e+02  7.801348003817328e+02  1.539056397327869e+03	 1.272298954427242e-02  1.272298954427242e-02 -3.757387282412404e-18	1.000000000000000e+00	31	0
37	 4.514121740864994e+02 -1.000000000000000e+03  1.584904344328535e+03	-1.329681370407343e-02 -1.462079617559531e-17  1.329681370407343e-02	1.000000000000000e+00	37	1
38	 1.000000000000000e+03 -1.000000000000000e+03  1.036316518415035e+03	 2.341670682653785e-03  4.111085576437016e-18 -2.341670682653785e-03	1.000000000000000e+00	37	1
39	 1.000000000000000e+03 -3.631651841503472e+01  2.000000000000000e+03	 2.202638424932957e-04 -4.579288414705812e-18 -2.202638424932957e-04	1.000000000000000e+00	37	1
40	 8.665078297579618e+02 -1.698086886570739e+02  1.999999999999999e+03	-2.051528356969357e-02  4.557158686342059e-17  2.051528356969357e-02	1.000000000000000e+00	37	1
41	 7.281426112008077e+02 -4.465391257713826e+02  1.861634781442844e+03	-8.182863891124725e-02 -4.094229289914411e-18  8.182863891124725e-02	1.000000000000000e+00	37	0
