89	630.253 872.151 1335.69	0
90	 500    0 2000	1
91	      0 322.917 1677.08	1
92	 375    0 1625	1
93	312.5 312.5  2000	1
94	500 0 0	1
95	 474.45 952.437       0	1
96	      0     750 261.905	1
97	   0 1500  625	1
98	      0 992.015 591.318	1
99	660.456 786.495 647.674	0
100	      0 322.917 322.917	1
101	312.5 312.5     0	1
102	583.333       0 583.333	1
103	  0   0 250	1
104	250 0 0	1
105	315.476   0 375	1
106	1250 2000    0	1
107	922.433    2000 582.589	1
108	 1208.3 1208.37 341.009	0
109	1750 2000    0	1
110	1468.75   2000 231.25	1
111	1695.31    2000 885.417	1
112	   2000 1507.18 1073.28	1
113	  2000 1738.1    750	1
114	1523.43 1545.74 959.954	0
115	   2000 1798.34 201.657	1
116	   2000    1250 261.905	1
117	1708.33 1208.33       0	1
118	   2000 745.307 502.347	1
119	1453.87 1639.88       0	1
120	1286.46 1553.08 261.287	0
121	1715.06 1705.09 293.056	0
122	1250 0 0	1
123	927.997 336.623       0	1
124	894.608       0 365.196	1
125	1055.79 485.339 484.825	0
126	1375   0 250	1
127	   1375 229.167       0	1
128	2000   0 500	1
129	1566.17 482.115  407.39	0
130	1750 0 0	1
131	2000 250   0	1
132	1623.11 513.174       0	1
133	   2000 373.054 374.027	1
134	2000 1250 2000	1
135	1736.32 1097.65    2000	1
136	1572.63  1103.2 1572.63	0
137	2000 1375 1750	1
138	1625 1625 2000	1
139	1751.92 1375 2000	1
140	2000 2000 1500	1
141	   2000    1625 1468.75	1
142	1572.92    2000 1572.92	1
143	261.905 1250 2000	1
144	   0 1250 2000	1
145	1073.28 1507.18    2000	1
146	984.375 2000 1500	1
147	609.375 1530.8   1000	0
148	   0 1750 2000	1
149	   0 2000 1250	1
150	      0 1529.41 1106.62	1
151	390.625 2000 1000	1
152	      0 1715.34 1340.34	1
153	234.375 2000 1375	1
154	404.023 1483.82 1423.53	0
155	 250 2000 2000	1
156	677.671   2000 1687.5	1
157	   750 1738.1   2000	1
158	   0 2000 1750	1
159	   2000 261.905    1250	1
160	2000    0 1250	1
161	   2000 558.748 911.826	1
162	2000  750 2000	1
163	1600.08  600.06 1636.62	0
164	1062.5    0 1500	1
165	   1000 609.375    2000	1
166	2000    0 1750	1
167	2000  250 2000	1
168	1307.11       0 1727.37	1
169	1437.5  250 2000	1
170	1114.58 304.688    2000	1
171	 1068.1 461.094 1563.99	0
172	1750    0 2000	1
173	      0 440.476    1000	1
174	   0    0 1250	1
175	      0 307.342 1278.47	1
176	 250    0 1375	1
177	  437.5 422.619  1437.5	0
