43	6.000000000000000e+03 6.000000000000000e+03 3.337544007200513e+02	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	40	1
44	6.000000000000000e+03 5.666245599279950e+03 0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	40	1
45	2.608780264504709e+03 2.275025863784670e+03 1.000444171950221e-11	-1.803828490665182e-04  5.214568809606135e-04  7.018397445790470e-04	1.000000000000000e+00	40	1
46	-2.608131569968632e+02  2.055195534524555e+02  8.000871111693675e+02	-8.620062726549804e-04  2.491917228326201e-03  3.353923559188843e-03	1.000000000000000e+00	40	0
47	-4.086937718998960e+03 -2.553822193657164e+03  1.866869926061844e+03	-8.024678681977093e-04  2.319801598787308e-03  3.122269641608000e-03	1.000000000000000e+00	40	0
48	-5.493433114953275e+03  4.058165285314612e+03 -3.637978807091713e-12	-1.219901372678578e-03 -4.537837579846382e-03  3.317936556413770e-03	1.000000000000000e+00	48	1
49	-3.551598400267883e+03  6.000000000000000e+03  0.000000000000000e+00	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	48	1
50	1.777472456833128e+03 5.999999999999991e+03 5.329070857101021e+03	 1.013061031699181e-03  3.768424969166517e-03 -2.755363937467337e-03	1.000000000000000e+00	48	1
51	-6.461627337623395e+02  5.352721761771531e+03  3.552713904734013e+03	-3.898449940606952e-04 -1.450160983949900e-03  1.060315989889205e-03	1.000000000000000e+00	48	0
52	-3.877676321222963e+03  4.489684110800252e+03  1.184237968244669e+03	-1.800389611162245e-03 -6.697161123156548e-03  4.896771628409624e-03	1.000000000000000e+00	48	0
53	1.072439110131680e+03 6.000000000000000e+03 7.409107768568812e+03	 1.347146753687412e-04 -3.435357575654052e-05 -1.003611032501794e-04	1.000000000000000e+00	53	1
54	-3.518453121299508e+03  6.000000000000000e+03  1.200000000000000e+04	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	53	1
55	 2.864812566046481e+03 -3.832656873459905e+02  1.200000000000000e+04	-1.018985640257597e-03  2.598513965494931e-04  7.591341855004430e-04	1.000000000000000e+00	53	1
56	2.267354747408214e+03 1.744489541769340e+03 1.046970258952294e+04	 3.058128757402301e-03 -7.798530859872699e-04 -2.278275787830353e-03	1.000000000000000e+00	53	0
57	1.470744322557191e+03 4.581496513923114e+03 8.429306042220189e+03	-6.756294751539826e-04  1.722921879263595e-04  5.033372435718775e-04	1.000000000000000e+00	53	0
58	 5.999999999999996e+03 -4.406286604949755e+03  1.164191133519955e+04	-7.027333140285918e-06 -5.223424886935391e-05  5.926158337388188e-05	1.000000000000000e+00	58	1
59	6.000000000000000e+03 6.000000000000000e+03 1.235624730249795e+03	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	58	1
60	-4.764375269750206e+03  6.000000000000000e+03  1.200000000000000e+04	0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00	1.000000000000000e+00	58	1
